run,batchSize,provingTimeBurn,memoryUsageBurn,provingTimeClaim,memoryUsageClaim
0,16,9339,1508,6850,1286
1,16,9283,1508,6769,1286
2,16,9441,1508,6920,1286
3,16,8717,1508,6200,1286
4,16,8515,1508,6208,1286
5,16,8630,1508,6216,1286
6,16,8678,1508,6766,1286
7,16,9404,1508,6938,1286
8,16,8580,1508,6288,1286
9,16,8586,1508,6279,1286
