run,batchSize,provingTimeBurn,memoryUsageBurn,provingTimeClaim,memoryUsageClaim
0,64,28976,5888,20108,4745
1,64,29054,5887,20331,4745
2,64,29027,5887,20282,4745
3,64,31734,5887,21724,4745
4,64,31125,5887,20342,4745
5,64,28948,5887,20093,4745
6,64,29064,5887,20159,4745
7,64,29083,5887,20107,4745
8,64,28991,5887,20079,4745
9,64,29026,5887,20412,4745
