run,batchSize,provingTimeBurn,memoryUsageBurn,provingTimeClaim,memoryUsageClaim
0,32,16221,2966,11308,2437
1,32,14925,2966,10602,2437
2,32,14800,2966,10462,2437
3,32,14781,2966,10526,2437
4,32,14730,2966,10505,2437
5,32,14695,2966,10496,2437
6,32,14716,2966,10445,2437
7,32,14754,2966,10447,2437
8,32,14688,2966,10479,2437
9,32,14700,2966,10503,2437
