run,batchSize,provingTimeBurn,memoryUsageBurn,provingTimeClaim,memoryUsageClaim
0,4,2117,413,2258,465
1,4,2033,413,2257,465
2,4,2253,413,2300,465
3,4,2043,413,2234,465
4,4,2064,413,2228,465
5,4,2048,413,2239,465
6,4,2025,413,2229,465
7,4,2095,413,2238,465
8,4,2041,413,2234,465
9,4,2042,413,2238,465
