run,batchSize,provingTimeBurn,memoryUsageBurn,provingTimeClaim,memoryUsageClaim
0,8,4308,778,4274,797
1,8,4261,778,4241,797
2,8,4282,778,4192,797
3,8,4252,778,4232,797
4,8,4325,778,4227,797
5,8,4396,778,4704,797
6,8,4633,778,4466,797
7,8,4620,778,4529,797
8,8,4620,778,4506,797
9,8,4564,778,4516,797
